,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,id,mood
0,0.549,0.22,130.749,0.0698,0.000798,0.00485,0.357,244573,-7.843,0.531,3kdMzXOcrDIdSWLdONHNK5,energetic
1,0.975,0.16,129.022,0.0618,5.13e-05,0.713,0.594,205760,-3.21,0.899,3rFEKOClXOdNFO6fQGuQ9j,energetic
2,0.724,0.237,130.037,0.0313,0.000827,0.000144,0.512,198081,-5.912,0.531,4G3DWijMhNkWZwLcxnDI0H,energetic
3,0.828,0.06,126.037,0.0536,0.00175,0.0136,0.542,194626,-3.91,0.785,4YZVtRbdGOhHdGNi4JpCL5,energetic
4,0.886,0.256,161.939,0.0714,2.93e-05,5.33e-06,0.252,210560,-4.678,0.498,7GvkOFkNsM6Exnkyqeajqm,energetic
5,0.948,0.376,103.183,0.0356,0.00225,0.0,0.535,173680,-4.19,0.778,29EkMZmUNz1WsuzaMtVo1i,energetic
6,0.843,0.362,97.691,0.272,0.0102,0.104,0.474,274282,-5.909,0.433,1wsnCfewxZlCs7cJxkaMZM,energetic
7,0.588,0.373,170.889,0.0641,0.0359,0.000129,0.507,278707,-4.881,0.637,6NvRxjfYkkT2SpirAlmsjH,energetic
8,0.886,0.334,124.013,0.0483,0.00111,0.000129,0.65,169720,-4.821,0.88,1LbwMX3159t6QxG3u7DRWe,energetic
9,0.83,0.29,95.004,0.0652,0.129,0.0,0.64,195173,-5.43,0.62,274tSPavv09i163nBnYrCU,energetic
10,0.939,0.233,106.031,0.0456,0.157,0.0,0.644,208107,-3.486,0.861,28IEbk5a7twNTbUEvWslUb,energetic
11,0.948,0.105,196.578,0.147,0.0104,0.0,0.185,207587,-3.892,0.316,5eALoO9RRACvoxvLKF9zt4,energetic
12,0.932,0.425,112.49,0.0485,0.00154,0.000142,0.554,242280,-3.424,0.478,1vcxF91pWs9uNwDROuiCPB,energetic
13,0.953,0.152,105.046,0.0855,0.00148,0.000582,0.613,213800,-3.435,0.537,305WCRhhS10XUcH6AEwZk6,energetic
14,0.981,0.197,158.937,0.0906,0.000867,0.00177,0.52,240572,-2.75,0.633,2nIulsLMiP2SMTDrtxfQXX,energetic
15,0.892,0.751,136.133,0.0786,3.31e-05,0.0948,0.365,323373,-8.036,0.176,1wLQwg0mloy3yXjL0jPE0N,energetic
16,0.855,0.372,185.791,0.29,0.00354,0.0,0.37,178116,-3.232,0.65,6spaGIZEfeDYlgAupMI34k,energetic
17,0.855,0.194,185.913,0.157,0.00873,0.0,0.475,186475,-3.977,0.656,2UwBITdD5cadaSxBTjaiXZ,energetic
18,0.638,0.26,141.95,0.0392,0.016,0.00131,0.549,236587,-5.775,0.536,7vp1UlW0aAWLyg67yjw3Vo,energetic
